,Cocktail Name,Ingredients,Garnish,Preparation,All Ingredients
10,HAPPINESS,"1.5 oz Jasmine Tea/Rice-Infused Junipero Gin*, .75 oz Leopold Bros. Sour Apple Liqueur, .75 oz Lime, .5 oz House-made Honey Syrup**, .25 oz Lo-Fi Gentian Amaro",Edible Flower,"Add all ingredients in a cocktail shaker, shake, fine strain into a chilled coupe or martini glass. Garnish with edible flower.

*Jasmine Tea/Rice-Infused Junipero Gin:
-- 1 bottle (750ml) Junípero gin
-- .5 cup Jasmine Tea
-- .5 cup Jasmine Rice (wash rice to eliminate starch)

Sous Vide Version: Wash the jasmine rice to clean out the starch. Fill container with hot water. Set sous vide at 52c. Add vacuum seal bag with jasmine tea/rice in bath. Let sit in bath for 45 minutes. Take the bag out of bath and sit it in ice bath for 15 minutes. Open bag and fine strain back into bottle.

Infusion Version: Wash the jasmine rice to clean out the starch. In a cambro/mason jar, add Junípero gin and jasmine tea and rice. Let infuse for 24 hours. Fine strain into bottle.

**House-made Honey Syrup: 

Put equal parts of honey (10 oz) and water (10 oz) in a saucepan. Boil, then turn down to a simmer and stir until the honey is completely dissolved.","1.5 oz Jasmine Tea/Rice-Infused Junipero Gin*, .75 oz Leopold Bros. Sour Apple Liqueur, .75 oz Lime, .5 oz House-made Honey Syrup**, .25 oz Lo-Fi Gentian Amaro,Edible Flower"
11,FOURTH GENERATION,"1.5 oz Mezcal, .25 oz Luxardo Espresso Italian Liqueur, .75 oz Luxardo Bitter Bianco, 2 dash Salted Chocolate Bitters",Ghost Orange Twist,Add all ingredients in a mixing glass and stir with ice. Strain into a Nick & Nora coupe. Garnish with a ghost orange twist.,"1.5 oz Mezcal, .25 oz Luxardo Espresso Italian Liqueur, .75 oz Luxardo Bitter Bianco, 2 dash Salted Chocolate Bitters,Ghost Orange Twist"
12,WEST COAST PUNCH,"1.5 oz Junipero Gin, .75 oz Pineapple Juice, .5 oz Monin Strawberry Puree, 6-7  Mint Leaves, .5 oz Lemon Sour, 1 oz Lemon Lime Soda","Lime Pinwheel, Bing Cherry",Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.,"1.5 oz Junipero Gin, .75 oz Pineapple Juice, .5 oz Monin Strawberry Puree, 6-7  Mint Leaves, .5 oz Lemon Sour, 1 oz Lemon Lime Soda,Lime Pinwheel, Bing Cherry"
13,MILLE MIGLIA,".75 oz Luxardo Maraschino Liqueur, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 1  Basil Leaf, .25 oz Lime Juice, 5 dash Rose Water","Lime Floral, Bing Cherry","Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.
",".75 oz Luxardo Maraschino Liqueur, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 1  Basil Leaf, .25 oz Lime Juice, 5 dash Rose Water,Lime Floral, Bing Cherry"
14,PARADISO SUN,"1.5 oz Junipero Gin, 1 oz Lime Sour, .5 oz Orange Juice, .25 oz Dry Curacao","Orange Wedge, Juniper Berries",Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with orange slice and 1 bar spoon juniper berries.,"1.5 oz Junipero Gin, 1 oz Lime Sour, .5 oz Orange Juice, .25 oz Dry Curacao,Orange Wedge, Juniper Berries"
15,LUX ORCHARD LEMONADE,".75 oz Luxardo Maraschino Liqueur, .5 oz Junipero Gin, .75 oz Monin Apple Puree, .25 oz Lemon Juice, 1 dash Fennel Bitters",Luxardo Cherry,Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain over fresh ice. Garnish with Luxardo Cherry.,".75 oz Luxardo Maraschino Liqueur, .5 oz Junipero Gin, .75 oz Monin Apple Puree, .25 oz Lemon Juice, 1 dash Fennel Bitters,Luxardo Cherry"
16,CUT & RUM,".75 oz Banks 5 Rum, .75 oz Denizen Aged White Rum , .75 oz Denizen Aged White Rum , .75 oz Luxardo Amaro Abano",Orange Peel,"Add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. Garnish with orange peel and clothes pin.",".75 oz Banks 5 Rum, .75 oz Denizen Aged White Rum , .75 oz Denizen Aged White Rum , .75 oz Luxardo Amaro Abano,Orange Peel"
17,THE KING'S SPRING DAISY,"1 oz King's Ginger Liqueur, 1 oz H by HINE, .25 oz Lemon juice, .25 oz Simple syrup, 2 dash Fee Brothers Rhubard bitters",Mint sprig,Add all ingredients into a cocktail shaker. Shake and double strain into a glass. Garnish with a sprig of mint.,"1 oz King's Ginger Liqueur, 1 oz H by HINE, .25 oz Lemon juice, .25 oz Simple syrup, 2 dash Fee Brothers Rhubard bitters,Mint sprig"
18,THE KING'S GINGER SPICED PUNCH,"25 oz King's Ginger Liqueur, 37.5 oz Cranberry Juice, 37.5 oz Fever-Tree Lemonade","Lemon Wheel, Strawberry",Add all ingredients into a punch bowl or pitcher and stir. Add lemon wheels and strawberries to garnish.,"25 oz King's Ginger Liqueur, 37.5 oz Cranberry Juice, 37.5 oz Fever-Tree Lemonade,Lemon Wheel, Strawberry"
19,WAR OF THE ROSES,".75 c Junipero Gin, .75 c C. Drouin Calvados Selection, .5 c Lemon Juice, .5 c Ginger-Vanilla Syrup, 4 dash Angostura Bitters, 1 bottle Sparkling Rose","Cinnamon sticks, Lemon wheels, Apple slices",Add all ingredients into a punch bowl. Serve in small rocks glasses.,".75 c Junipero Gin, .75 c C. Drouin Calvados Selection, .5 c Lemon Juice, .5 c Ginger-Vanilla Syrup, 4 dash Angostura Bitters, 1 bottle Sparkling Rose,Cinnamon sticks, Lemon wheels, Apple slices"
20,THE KING'S MEDICINE,"1.5 oz King's Ginger Liqueur, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO, .75 oz Lemon Juice",Lemon Twist,"Add all ingredients into a shaker with ice, shake furiously. Fine strain into chilled coupe. Garnish with a lemon twist.","1.5 oz King's Ginger Liqueur, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO, .75 oz Lemon Juice,Lemon Twist"
21,A.NISE,"1.5 oz Pink Pigeon Rum, .5 oz Luxardo Amaretto di Saschira, .5 oz Osha Falernum, .5 oz Lemon juice, 1 oz Pineapple juice, 3 dash Orange bitters","Star Anise, Lemongrass Slices",Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,"1.5 oz Pink Pigeon Rum, .5 oz Luxardo Amaretto di Saschira, .5 oz Osha Falernum, .5 oz Lemon juice, 1 oz Pineapple juice, 3 dash Orange bitters,Star Anise, Lemongrass Slices"
22,DOWN THE RABBIT HOLE," oz Junipero Gin,  oz Lemon,  oz Elder Flower Liquor,  oz Honey Syrup,  oz Carrot Juice",Mint Leaves,"Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves."," oz Junipero Gin,  oz Lemon,  oz Elder Flower Liquor,  oz Honey Syrup,  oz Carrot Juice,Mint Leaves"
23,PEACE DAIQUIRI,"1.5 oz Pink Pigeon Rum, .5 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice, .5 oz Simple Syrup, .5 oz Fresh Grapefruit Juice",Luxardo Cherry,"Add all ingredients into shaking tin. Add ice cubes to tin. Shake vigorously and strain into coupe. Garnish with Luxardo Maraschino Cherry.
","1.5 oz Pink Pigeon Rum, .5 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice, .5 oz Simple Syrup, .5 oz Fresh Grapefruit Juice,Luxardo Cherry"
24,THE KING'S AUTUMN COBBLER,"1 oz King's Ginger Liqueur, .25 oz Briottet Creme de Mure (Blackberry),  top Pear Cider","3 Lemon Wedges, 3 Blackberries",Add all ingredients over ice. Stir with a barspoon. Squeeze lemon wedges and add blackberries.,"1 oz King's Ginger Liqueur, .25 oz Briottet Creme de Mure (Blackberry),  top Pear Cider,3 Lemon Wedges, 3 Blackberries"
25,THE MAD KING,"2 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Honey Syrup, 1 dash Angostura Bitters",Flamed Lemon Peel,"Add all ingredients to a mixing glass and stir for 15-20 seconds. Strain into a highball filled with fresh ice.
","2 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Honey Syrup, 1 dash Angostura Bitters,Flamed Lemon Peel"
26,THE ROBERT BARATHEON,"2 oz Single Malt Scotch, .25 oz Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 2 dash Angostura Bitters",Luxardo Cherry,Add all ingredients to a mixing glass filled with ice. Stir until cold and strain into a chilled coupe.,"2 oz Single Malt Scotch, .25 oz Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 2 dash Angostura Bitters,Luxardo Cherry"
27,LUX SHANDY,"1 oz Luxardo Aperitivo, .5 oz Lemon Juice, .5 oz Orange Juice, .5 oz Simple Syrup,  top Anchor California Lager",Half Orange Wheel,Add all ingredients to a mixing glass. Add ice and integration shake. Pour over fresh ice into a highball and top with California Lager. Garnish with a half orange wheel.,"1 oz Luxardo Aperitivo, .5 oz Lemon Juice, .5 oz Orange Juice, .5 oz Simple Syrup,  top Anchor California Lager,Half Orange Wheel"
28,FIONA GRAHAM,"1.5 oz Luxardo Bitter Bianco, 1 oz Junmai Sake, .25 oz Coconut Rum, 1 dash Orange Bitters, 1 dash Coconut Vinegar",Expressed Orange Swath,Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.,"1.5 oz Luxardo Bitter Bianco, 1 oz Junmai Sake, .25 oz Coconut Rum, 1 dash Orange Bitters, 1 dash Coconut Vinegar,Expressed Orange Swath"
29,LE SANG ET SABLE,"1.5 oz H by HINE, .5 oz Dubonnet Rouge, .5 oz Cherry Herring, .375 oz Blood Orange Juice, .375 oz Lemon Juice","Cherry, Lemon Twist",Add all ingredients to a shaker and fill with ice. Shake vigorously and strain into chilled stemmed cordial glass. Garnish with cocktail cherry and lemon twist.,"1.5 oz H by HINE, .5 oz Dubonnet Rouge, .5 oz Cherry Herring, .375 oz Blood Orange Juice, .375 oz Lemon Juice,Cherry, Lemon Twist"
30,MARTINEZ,"1.5 oz Old Tom Gin, 1.5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Tempus Fugit Abbott's Bitters",Orange Twist,"Add all ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass.","1.5 oz Old Tom Gin, 1.5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Tempus Fugit Abbott's Bitters,Orange Twist"
31,AMARETTO SOUR BV-STYLE,"1.5 oz Luxardo Amaretto di Saschira, .5 oz Bourbon, .5 oz Fresh Lime Juice, .75 oz Pineapple Juice, .75 oz Fresh Egg White, 2 dash Angostura Bitters","Cherry, Freshly Grated Cinnamon",Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,"1.5 oz Luxardo Amaretto di Saschira, .5 oz Bourbon, .5 oz Fresh Lime Juice, .75 oz Pineapple Juice, .75 oz Fresh Egg White, 2 dash Angostura Bitters,Cherry, Freshly Grated Cinnamon"
32,JULIA'S CHILD,"1 oz Broker's Gin, 1 oz Karlsson's Gold Vodka, 2 oz Celery Root Puree, .5 oz Fresh Lemon Juice, .75 oz Simple Syrup, 3 dash Apple Bitters, 1 dash Angostura Bitters",Celery Leaf,"Add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass. Garnish with a celery leaf.","1 oz Broker's Gin, 1 oz Karlsson's Gold Vodka, 2 oz Celery Root Puree, .5 oz Fresh Lemon Juice, .75 oz Simple Syrup, 3 dash Apple Bitters, 1 dash Angostura Bitters,Celery Leaf"
33,THE BITTER KING,"2 oz King's Ginger Liqueur, .75 oz Lemon Juice, .75 oz Simple Syrup",Luxardo Cherry,"Add all ingredients to a shaker, add ice, shake and strain into a martini glass garnish with a Luxardo Cherry.","2 oz King's Ginger Liqueur, .75 oz Lemon Juice, .75 oz Simple Syrup,Luxardo Cherry"
34,LA MARACUJA,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Fresh Passion Fruit, 1 oz Condense Milk, .25 oz Brown Sugar Syrup (2:1)","Mint Sprig, Fresh Grated Nutmeg",Add all ingredients to blender and blend throughly. Double strain into a glass with cracked ice garnish with a mint sprig and fresh grated nutmeg.,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Fresh Passion Fruit, 1 oz Condense Milk, .25 oz Brown Sugar Syrup (2:1),Mint Sprig, Fresh Grated Nutmeg"
35,SAN FRANCISCO STRONG (SKRONG),".75 oz Junipero Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Luxardo Bitter Bianco, .75 oz Lemon Juice, .75 oz Egg Whites, .5 oz Rich Simple Syrup*",Matcha Powder,"Add all ingredients to tin and dry shake. Add ice and vigorously shake for 12 seconds. Fine strain into chilled cocktail glass. Garnish by sprinkling matcha powder (.25 tsp). 

*Rich Simple Syrup: 
-- 2 cups Granulated Sugar
-- 1 cup Water

Combine sugar and water in a small saucepan over medium heat and stir until sugar dissolves. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",".75 oz Junipero Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Luxardo Bitter Bianco, .75 oz Lemon Juice, .75 oz Egg Whites, .5 oz Rich Simple Syrup*,Matcha Powder"
36,NUESTRA JULEP,"1 oz High West Oat Whisky, .5 oz King's Ginger Liqueur, .5 oz Peach Shrub, .75 oz Lime, 1 dash Angostura Bitters, 1 dash Grapefruit Bitters",Basil Leaf,Add all ingredients together.,"1 oz High West Oat Whisky, .5 oz King's Ginger Liqueur, .5 oz Peach Shrub, .75 oz Lime, 1 dash Angostura Bitters, 1 dash Grapefruit Bitters,Basil Leaf"
37,PISCO PUNCH,"2 oz BarSol Selecto Italia Pisco, 2 oz Pineapple Juice, 1 oz Fresh Lime Juice, 1 oz Simple Syrup","Luxardo Cherry, Pineapple Chunks",Add all liquid ingredients into a cocktail shaker with ice. Shake well and strain into an ice filled white wine glass. Garnish by adding pineapple chunks and Luxardo Cherry.,"2 oz BarSol Selecto Italia Pisco, 2 oz Pineapple Juice, 1 oz Fresh Lime Juice, 1 oz Simple Syrup,Luxardo Cherry, Pineapple Chunks"
38,LA BATIDA LOCA,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Sweetened Condensed Milk, 1 oz Passion Fruit (fresh or puree), .5 oz Pilon Syrup*",Passion Fruit Seeds,"Add all of the ingredients, except seeds, to a shaker with ice and shake well. Double strain onto fresh ice into a collins glass. Garnish with 1 spoon of passion fruit seeds.

*Pilon Syrup:
Homemade 50/50 simple syrup using Pilon Sugar made from Mexican Sugar Cane.","2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Sweetened Condensed Milk, 1 oz Passion Fruit (fresh or puree), .5 oz Pilon Syrup*,Passion Fruit Seeds"
39,NEIGHBORHOOD NEGRONI,"1 oz Junipero Gin, 1 oz Campari, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso",Flamed Orange Twist,Add all the ingredients to a mixing glass and fill with ice. Stir until well chilled and strain into a chilled cocktail glass. Garnish with a flamed orange twist.,"1 oz Junipero Gin, 1 oz Campari, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso,Flamed Orange Twist"
40,ROTHES ROY,"2 oz Glenrothes Vintage Reserve, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 3 dash Angostura Bitters",Luxardo Cherry,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a chilled cocktail glass. Garnish with a Luxardo Cherry.","2 oz Glenrothes Vintage Reserve, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 3 dash Angostura Bitters,Luxardo Cherry"
41,ANGEL'S FACE,"1 oz No.3 London Dry Gin, 1 oz Applejack, 1 oz Luxardo Apricot Liqueur",Orange Peel Slice,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.","1 oz No.3 London Dry Gin, 1 oz Applejack, 1 oz Luxardo Apricot Liqueur,Orange Peel Slice"
42,KISS,"2 oz Gin, .75 oz Sweet Vermouth, .75 oz Dubonnet Rouge, .25 oz Luxardo Maraschino Liqueur",Apple Slice,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a martini glass. Garnish with an apple slice.","2 oz Gin, .75 oz Sweet Vermouth, .75 oz Dubonnet Rouge, .25 oz Luxardo Maraschino Liqueur,Apple Slice"
43,THE CAPPA,"1.5 oz Gin, 1.5 oz Pineau des Charentes, .5 oz Luxardo Maraschino Liqueur",Lemon Peel Twist,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a small wine or cocktail glass. Twist a slice of lemon peel over the drink and use as garnish.","1.5 oz Gin, 1.5 oz Pineau des Charentes, .5 oz Luxardo Maraschino Liqueur,Lemon Peel Twist"
44,THE INSIDE JOB,"2 oz Bourbon, .25 oz Luxardo Maraschino Liqueur, .5 oz Simple Syrup, 1 dash Angostura Bitters, 1 dash Vieux Pontarlier Absinthe Francaise Superieure","Luxardo Cherry, Orange Twist","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into an old fashioned glass filled with fresh ice. Garnish with a Luxardo Cherry and an orange slice or twist.","2 oz Bourbon, .25 oz Luxardo Maraschino Liqueur, .5 oz Simple Syrup, 1 dash Angostura Bitters, 1 dash Vieux Pontarlier Absinthe Francaise Superieure,Luxardo Cherry, Orange Twist"
45,THE SUN ALSO RISES,"2 oz Banks 5 Island Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur, 1 tsp Vieux Pontarlier Absinthe Francaise Superieure",,"Add all the ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass filled with crushed ice.","2 oz Banks 5 Island Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur, 1 tsp Vieux Pontarlier Absinthe Francaise Superieure,"
46,TRATO HECHO,".75 oz Pineapple-Infused Mezcal*, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice",,"Add all the ingredients to a shaker and fill with ice. Shake, and strain into a coupe glass.

*Pineapple-Infused Mezcal:
Peel, core and chop a whole pineapple into 1-inch cubes. Add to a large jar or other container with a lid, and add a 750-mL bottle of mezcal. Let stand for 5 days and strain before using.",".75 oz Pineapple-Infused Mezcal*, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice,"
47,NICK & JANAE,"1.5 oz H by HINE, .5 oz Luxardo Amaro Abano, .75 oz Fresh Lemon Juice, .75 oz Strawberry Syrup*, .5 oz Egg White",Black Pepper,"Add cognac, amaro, lemon, strawberry syrup and fresh cracked egg white of a whole egg to tin. Dry shake without ice approx. 5 seconds to emulsify. Add ice and shake hard again approx. 10 seconds. Fine strain into coupe. Crack drag black pepper over surface. Serve and enjoy.

*Strawberry syrup- 1 cup fresh strawberries 1 cup water 1cup sugar. Blend in vitamix then heat on stove and stir until hot to bind sugars, don't boil. Bottle and refrigerate.","1.5 oz H by HINE, .5 oz Luxardo Amaro Abano, .75 oz Fresh Lemon Juice, .75 oz Strawberry Syrup*, .5 oz Egg White,Black Pepper"
48,ON THE WINGS OF EAGLES,"1.5 oz H by HINE, .75 oz Rye Whiskey, .75 oz Green Chartreuse, 2 dash Lemon Bitters, 1 splash Fernet-Branca",Mint Sprig,"Add cognac, rye, Chartreuse and bitters to a mixing glass with ice, and stir until cold. Add splash of fernet to a rocks glass, roll the glass to coat the sides, and discard the excess. Add one large ice cube to the glass, strain the drink over the cube, and garnish with a mint sprig.","1.5 oz H by HINE, .75 oz Rye Whiskey, .75 oz Green Chartreuse, 2 dash Lemon Bitters, 1 splash Fernet-Branca,Mint Sprig"
49,MULE PIGEON,"40 ml Pink Pigeon Rum, 2 dash Angostura Bitters,  top Ginger Beer",Basil Sprig,"Add cubed ice to a highball, add 2 dashes of Angostura Bitters, top with ginger beer, garnish with a sprig of basil.","40 ml Pink Pigeon Rum, 2 dash Angostura Bitters,  top Ginger Beer,Basil Sprig"
50,CUBA LIBERATION,"2 oz Pink Pigeon Rum, 1.5 oz Fresh lime juice, .25 oz Simple syrup,  oz Mexican Coca Cola, 1 float Luxardo Fernet","Lime wheel, Mint sprig",Add first three ingredients to a mixing glass with shaker and lightly shake with ice. Pour mixture into a Collins or highball glass over ice. Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float. Garnish with a lime wheel and fresh mint sprig.,"2 oz Pink Pigeon Rum, 1.5 oz Fresh lime juice, .25 oz Simple syrup,  oz Mexican Coca Cola, 1 float Luxardo Fernet,Lime wheel, Mint sprig"
